PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0c2l3,r1b1kb1r/ppp1qppp/2n5/4P3/2B1n3/5N2/PPP3PP/RNBQ1RK1 b kq - 0 8,c6e5 f3e5 e7e5 c4f7,1757,74,88,491,advantage attackingF2F7 opening short,https://lichess.org/2h5spE3o/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0cQCO,r1b2knr/pp2q1p1/1bp4p/3BPPBQ/3P4/2P5/PP4PP/RN3R1K b - - 0 15,e7g5 h5f7,875,77,100,424,mate mateIn1 oneMove opening,https://lichess.org/H1TqvhvK/black#30,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0cnxU,rnb1kb1r/ppp2p1p/3p1p2/3Np2q/4P3/3P1N2/PPP1K1PP/R2Q1B1R b kq - 1 9,b8a6 d5f6 e8d8 f6h5,1085,78,95,1722,advantage fork opening short,https://lichess.org/UplZEjQi/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Keenes_Defense
0d31I,rn1q1k1r/pp4pp/2pb3n/5b1Q/2BNpP2/8/PPPP2PP/R1B1K2R b KQ - 1 10,f5g6 d4e6 f8e8 e6g7,1957,80,90,463,advantage deflection fork opening short,https://lichess.org/IVOUIo5O/black#20,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
0eWmY,r1b1kb1r/ppp2n1p/2n5/3NP1B1/2q3pP/8/PPP3P1/R2Q1R1K b kq - 3 15,f7g5 d5c7 e8e7 d1d6,1729,75,96,1135,fork mate mateIn2 opening short,https://lichess.org/La7uQyOI/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0fHkr,r1bq1bk1/ppp3pr/2n2nNp/8/3P1p2/2P5/PP4PP/RNBQ1RK1 b - - 0 11,f8d6 d1b3 f6d5 b3d5 c8e6 d5e6,1673,76,95,14068,kingsideAttack long mate mateIn3 opening,https://lichess.org/DmeVF7IE/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
0fZjF,r1bqk1nr/pppp1p1p/2n4b/8/2BPPp2/2P2Q2/PP4PP/RNB2RK1 b kq - 2 8,g8f6 c1f4 h6f4 f3f4,2064,83,90,1089,advantage opening short,https://lichess.org/9gXBupLj/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
0gsI1,r1bq1k1r/ppp1n1b1/2np1p1p/6pB/3PPp1P/1QP2N2/PP4P1/RNB2RK1 b - - 5 11,c6a5 b3f7,1361,170,48,26,mate mateIn1 oneMove opening,https://lichess.org/DhG89Ys4/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
0hCym,2kr1b1r/pppq1ppp/2n5/3PP3/2P3b1/5N2/1P4PP/RNBQ1RK1 b - - 0 13,c6e5 f3e5 g4d1 e5d7,1066,78,74,155,advantage hangingPiece opening short,https://lichess.org/EmgjSieG/black#26,Kings_Gambit Kings_Gambit_Other_variations
0hNBa,rnbq2nr/pppp1kpp/5b2/4N3/4P3/8/PPPP3K/RNBQ1R2 b - - 1 9,f7e6 d1g4 e6d6 e5f7 d6e7 f7d8,1517,79,93,1791,advantage exposedKing fork long opening,https://lichess.org/rk971pfy/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
0k0K1,r1bq1k1r/ppppn1b1/5p1p/4BNpQ/2B2p2/1P6/P1PP2PP/RN2K2R b KQ - 0 11,e7f5 h5f7,1219,98,67,61,mate mateIn1 oneMove opening,https://lichess.org/C8FeFeiu/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
0kEPG,r1bq1b1r/ppp2kpp/5n2/n3p3/4P3/2N2N2/PPPP2PP/R1BQ1RK1 b - - 1 8,c8g4 f3e5 f7g8 e5g4,1349,79,93,674,advantage opening short,https://lichess.org/TClLhotA/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0kZsD,2kr1bnr/ppp2p1p/1n3q2/3P4/4PBQ1/2P5/PP4PP/RN3RK1 b - - 2 14,c8b8 f4c7 b8c7 f1f6,974,76,100,428,advantage discoveredAttack opening short,https://lichess.org/7kDFeX1P/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Muzio_Gambit
0kpAO,rnbqk2r/ppppbp2/7B/8/6NP/3P4/PPP1Q1P1/RN2KB1n b Qkq - 0 11,h1g3 g4f6,1023,78,89,83,mate mateIn1 oneMove opening pin,https://lichess.org/9Z5b3CA1/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kieseritzky_Gambit
0lAk5,r1bq2kr/ppp1n1pp/1b2p3/3PN2Q/4nB2/8/PPP3PP/RN2K2R b KQ - 3 12,e4f6 h5f7,857,102,97,396,mate mateIn1 oneMove opening,https://lichess.org/oEbHpQS6/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0lYct,rnb1k1nr/pppp1p2/3bq2p/3NN1p1/3PPB2/8/PPP3PP/R2Q1RK1 b kq - 0 10,g5f4 d5f4 e6e7 f4d5 d6e5 d5e7,2180,78,84,520,advantage long opening,https://lichess.org/tiWYpZ5y/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
0ly5H,rnb1k2r/ppppnQ1p/1b4pB/8/3PP3/8/PPq4P/RN2KR2 b Q - 4 13,e8d8 f7f8 h8f8 f1f8,999,79,100,90,backRankMate mate mateIn2 opening sacrifice short,https://lichess.org/k6SXe4du/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
0neOV,rnbqkbnr/ppp3pp/8/7Q/4pp2/1B6/PPPP2PP/RNB1K2R b KQkq - 1 8,e8d7 h5d5 f8d6 d5f5 d7c6 b3a4 b7b5 f5b5,2674,104,94,7534,dovetailMate mate mateIn4 opening veryLong,https://lichess.org/s7CP0WNu/black#16,Kings_Gambit Kings_Gambit_Other_variations
0pQuy,rnb1kbnr/pppp1Q1p/8/8/2B1P2q/2N3p1/PPPP3P/R1B1K2R b KQkq - 0 8,e8d8 f7f8,748,80,82,254,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/e9k0y2hX/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_McDonnell_Gambit
0pYeC,r2q1bkr/ppp1n1pp/2n5/6N1/3p1PQ1/2P5/PP4PP/RNB1R1K1 b - - 0 12,h7h6 g4e6,836,80,100,173,mate mateIn1 oneMove opening,https://lichess.org/3js6Q5xv/black#24,Kings_Gambit Kings_Gambit_Other_variations
0qgxm,rn1q1bnr/pppk2pp/8/3PQ3/4Pp2/8/PPP3PP/RNB2RK1 b - - 0 11,f8d6 e5e6,1520,85,91,1876,mate mateIn1 oneMove opening,https://lichess.org/teW1hPcv/black#22,Kings_Gambit Kings_Gambit_Other_variations
0qh9L,r2qkbnr/pppb1pp1/2np3p/4pPNQ/4P3/3P4/PPP3PP/RNB2RK1 b kq - 1 9,g8f6 h5f7,722,87,83,63,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/BASTEL6r/black#18,Kings_Gambit Kings_Gambit_Other_variations
0qxGr,rnbq2nr/ppp1bk2/3p3p/7Q/3PPB2/8/PPP3PP/RN3RK1 b - - 1 10,f7e6 h5f5,1678,77,91,3398,mate mateIn1 oneMove opening,https://lichess.org/DHwER7SV/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0sfzF,r1bq1bnr/p1pk2pp/2p5/4p2Q/4P3/8/PPPP2PP/RNB2RK1 b - - 3 9,d8e7 f1f7 g8f6 f7e7,1368,99,76,28,advantage opening pin short,https://lichess.org/gt4i5PZG/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0tTXe,rnb2b1r/pppp3p/2k4n/4Q3/3PPp1q/2N5/PPP3PP/R1B2K1R b - - 6 12,d7d6 e5b5,1563,83,84,626,mate mateIn1 oneMove opening,https://lichess.org/8HgyAyGL/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Lolli_Gambit
0tjBk,r2qr1k1/ppp1bppp/2n2n2/4B3/3P4/2N2B2/PPP3PP/R2QR1K1 b - - 0 12,c6e5 d4e5 f6d7 f3b7 e7c5 g1h1,2014,77,91,2440,advantage defensiveMove long opening,https://lichess.org/WxR6mMER/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
0tnyn,rnbqk1nr/ppp3bp/3p4/4N1pQ/3PPp2/8/PPP3P1/RNB1KB1R b KQkq - 1 8,e8f8 h5f7,838,80,100,666,mate mateIn1 oneMove opening,https://lichess.org/34YdKjNH/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
0tq89,rnbq2kr/pppp2bp/5n2/4P1Q1/3P1R2/8/PPP3pP/RNB3K1 b - - 0 11,d8e7 e5f6 e7e1 g1g2,1875,76,93,783,crushing fork opening short,https://lichess.org/PVUyCRAT/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Ghulam-Kassim_Gambit
0u50n,r1b1k2r/ppppnQ2/2n5/2b1P1qp/2B2R2/8/PPP3PP/RNB4K b kq - 2 13,e8d8 f7f8 h8f8 f4f8,655,91,78,83,backRankMate mate mateIn2 opening sacrifice short,https://lichess.org/WfEyOqsi/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0vPqu,rnb4r/pp2bkpp/3p1n2/8/3P1pq1/5N1P/PPP3P1/RNB1QK1R b - - 0 13,g4e6 f3g5 f7e8 g5e6,1054,84,89,441,crushing fork opening short,https://lichess.org/E6clMi8M/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0vjLO,rnbq1b1r/ppp2k2/7p/3n4/2B2RpP/8/PPPP2P1/RNBQ2K1 b - - 0 10,f7g7 f4g4 c8g4 d1g4,1746,74,88,1254,advantage opening short,https://lichess.org/J9FuAZuU/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Allgaier
